功能ID,功能名称,所属模块,优先级,描述,验收标准
1,信息架构,待定,P0,V1必须围绕“骑行中高频任务”组织，而不是社区/商城导向；一级Tab应服务连接设备、开始骑行、导航记录、设备管理这四类核心任务,待定
2,HUD导航,待定,P0,HUD导航是V1第一核心能力，至少应包含箭头级引导、下一动作距离、偏航提醒、夜间模式与低干扰显示,待定
3,影像记录,待定,P0,4K拍摄/行车记录必须作为核心卖点落地，至少提供录像状态、拍照、异常提醒、素材回看与高光标记闭环,待定
4,语音与降噪,待定,P0,语音唤醒+高频命令集+风噪环境可用性是V1成败关键，必须与实体按键形成双通道交互冗余,待定
5,组队与安全,待定,P0,组队骑行状态、队友事件提醒、基础安全预警、电量/故障/连接状态提示都属于高端摩旅用户的刚需，不应后置,待定
6,一级Tab结构,待定,P0,我选择CMO的“首页/骑行/设备/我的”，不采纳“设备/社区/商城/我的”；理由：产品目标是智能骑行操作系统，不是内容或电商平台，社区/商城放一级Tab会稀释V1资源并误导设计与研发优先级,待定
7,HUD信息密度,待定,P0,我选择“简易导航默认、全量导航可选”的方案；理由：骑行场景首要约束是认知负荷与安全，默认低干扰比功能堆叠更符合第一性原理,待定
8,社区与商城,待定,P1,我裁定V1不设一级入口，仅放首页二级入口或“我的”内聚合；理由：它们不支撑2027Q1量产前的核心购买理由，也会分散研发测试资源,待定
9,主动安全范围,待定,P1,我裁定V1只承诺“地图风险提醒+设备状态预警+基础事故/SOS能力预留”，不承诺完整ADAS前碰撞/盲区；理由：CTO缺席且传感器方案未确认，属于高硬件耦合高风险项，[KNOWLEDGE_GAP] 需确认摄像头/FMCW/IMU/算法栈后再定,待定
10,音乐与消息,待定,P2,我裁定V1仅保留最小控制与白名单提醒，不做复杂消息中心与富媒体展示；理由：非核心、易分散注意力、且法规与安全风险更高,待定
11,产品总览,待定,P0,V1统一方案：App采用“首页/骑行/设备/我的”四Tab；HUD默认简洁导航模式，支持箭头、下一动作距离、偏航、夜间模式、亮度调节；影像模块提供4K录像、拍照、录像状态、存储异常、高光标记、App回看导出；音频交互提供主动降噪、语音降噪、唤醒词+按键双入口，覆盖导航、通话、拍摄、组队、设备查询等高频命令；组队骑行提供建队入队、队友相对位置/掉队/停车/求助提醒；设备模块覆盖头盔、耳机、胎压等外设绑定与状态管理；社区商城降级。量产导向上，优先保证骑行中可用性、低干扰、稳定连接与续航，不做重社区和高风险未验证ADAS,待定
12,首页总览,App-首页,P0,展示设备连接状态、快捷开始骑行、最近视频/轨迹、重要提醒与低电量/异常入口,待定
13,快捷开始骑行,App-首页,P0,一键进入导航+录像+组队预设，减少出发前操作步骤,待定
14,最近素材与轨迹,App-首页,P1,展示最近录像、照片、骑行轨迹与高光片段入口,待定
15,重要提醒中心,App-首页,P0,聚合低电量、存储异常、连接异常、胎压异常、队友事件等高优先级提醒,待定
16,骑行主界面,App-骑行,P0,承载导航、录像、组队、轨迹与骑行状态的统一操作入口,待定
17,HUD简易导航,HUD-导航,P0,默认显示转向箭头、下一动作距离、偏航提醒、到达提醒，控制信息密度,待定
18,HUD全量导航,HUD-导航,P1,可选显示道路名、ETA、剩余距离、限速等扩展信息,待定
19,偏航与重规划,HUD-导航,P0,偏离路线时HUD与语音同步提醒并触发重新规划,待定
20,路线预览,App-骑行,P1,出发前查看路线摘要、里程、时长与风险路段,待定
21,夜间模式,HUD-显示控制,P0,降低亮度与眩光，适配夜骑安全,待定
22,亮度调节,HUD-显示控制,P0,支持自动亮度与手动亮度快捷调节,待定
23,显示布局切换,HUD-显示控制,P1,提供简洁/标准两种布局，满足不同骑手偏好,待定
24,4K录像,影像-拍摄,P0,支持骑行中持续录像，作为核心卖点与行车记录基础,待定
25,拍照,影像-拍摄,P0,支持语音或按键快速抓拍,待定
26,录像状态提示,HUD-摄像,P0,显示录像中、待机、拍照成功、存储异常等关键状态,待定
27,高光标记,影像-拍摄,P1,骑行中一键标记精彩片段，便于后期检索与剪辑,待定
28,素材回看与导出,App-骑行,P0,查看录像/照片并导出到手机相册或分享,待定
29,AI剪片预留,影像-AI,P2,V1仅预留高光聚合能力，不做复杂自动成片,待定
30,语音唤醒,AI语音助手,P0,支持唤醒词与按键双入口，确保戴手套和高噪环境可操作,待定
31,高频语音命令集,AI语音助手,P0,覆盖导航到某地、接挂电话、开始/停止录像、拍照、建队/入队、查询电量,待定
32,语音反馈,AI语音助手,P0,通过耳机播报+HUD文字确认命令执行结果,待定
33,风噪语音降噪,音频-算法,P0,优化高速骑行环境下的拾音与识别可用性,待定
34,主动降噪,音频-播放/通话,P0,降低环境噪声对通话与听感的影响,待定
35,通话控制,音频-通话,P0,支持来电显示、接听、拒接、稍后回拨,待定
36,音乐基础控制,音频-媒体,P2,仅提供播放/暂停/切歌，不做复杂媒体信息展示,待定
37,组队建队入队,骑行-组队,P0,支持创建队伍、邀请码/联系人入队与队伍状态同步,待定
38,队友相对位置,骑行-组队,P0,显示前后队友相对位置与掉队状态,待定
39,队友事件提醒,骑行-组队,P0,提醒停车、偏航、求助、掉线等关键事件,待定
40,组队语音入口,骑行-组队,P1,通过语音快速发起建队、查询队伍状态,待定
41,设备绑定,App-设备,P0,绑定头盔、耳机、胎压计等外设并完成首次配对,待定
42,设备状态面板,App-设备,P0,查看电量、连接状态、存储状态、固件版本与故障信息,待定
43,HUD校准,App-设备,P0,首次引导完成HUD位置、视角、亮度校准,待定
44,按键自定义,App-设备,P1,配置单击/双击/长按映射到拍照、接听、唤醒AI等操作,待定
45,防误触逻辑,设备-交互安全,P0,行驶中限制高风险操作，降低误触风险,待定
46,固件升级,App-设备,P1,支持OTA升级与升级风险提示,待定
47,胎压胎温显示,安全-外设,P1,接入外设后显示前后轮胎压胎温,待定
48,胎压异常预警,安全-外设,P1,低压、高温、漏气风险通过HUD和语音高优先级提醒,待定
49,地图风险提醒,安全-主动提醒,P1,基于地图数据提示急弯、施工、事故多发、复杂路口,待定
50,设备故障预警,安全-系统,P0,摄像头异常、传感器异常、连接异常、存储异常分级告警,待定
51,SOS能力预留,安全-紧急场景,P2,预留跌倒/事故后求助流程，但量产前需硬件与法务确认,待定
52,ADAS前碰撞/盲区预警,安全-高级辅助,P2,[KNOWLEDGE_GAP] 依赖传感器与算法方案确认，V1不作为量产承诺,待定
53,账号登录,App-我的,P0,支持手机号/第三方登录与设备绑定关系管理,待定
54,订单与售后,App-我的,P1,查看订单、保修、维修进度与客服入口,待定
55,新手教程,App-我的,P1,提供首次使用、HUD校准、语音命令、组队说明,待定
56,反馈与日志上报,App-我的,P1,提交问题反馈并上传设备日志辅助排障,待定
57,社区入口,App-二级入口,P2,V1仅保留轻入口，不作为主Tab，不做重UGC运营,待定
58,商城入口,App-二级入口,P2,V1仅承载配件购买与售后补件，不作为主Tab,待定
59,CMO市场策略,待定,P0,核心观点是V1必须回到高端摩旅用户的真实购买理由：HUD导航、4K拍摄、安全、降噪通讯、组队、AI助手；因此反对“设备/社区/商城/我的”一级结构，主张“首页/骑行/设备/我的”。同时给出较完整的HUD、非显示交互、设备与安全功能清单，强调高频任务前置、低频内容后置，避免把产品做成内容社区或电商App,待定
60,CTO技术方案,待定,P1,CTO节点超时，未提供可裁决的技术边界、硬件约束、功耗预算、传感器方案、连接协议与量产风险评估；因此我没有采纳任何假定的高级安全能力，也没有承诺复杂AI与ADAS功能，统一按“量产可交付优先”的保守策略收敛,待定
61,CDO设计方案,待定,P1,CDO节点超时，未提供视觉层级、HUD版式、工业设计一致性、交互动效与品牌语言建议；因此我在设计裁决上采用“低干扰、简洁优先、夜间安全优先”的保守原则，只保留对量产体验影响最大的显示控制、校准与反馈机制,待定
