section,question_id,question,type,options
筛选信息,Q1,您是否使用过任何订阅服务（如软件会员、内容会员、云服务、设备增值服务）？,single_choice,经常使用;偶尔使用;用过但已取消;从未使用
需求与态度,Q2,如果某产品提供订阅增值服务，您的接受程度如何？,single_choice,非常接受;比较接受;一般;不太接受;完全不接受
需求与态度,Q3,您更能接受哪种收费方式？,single_choice,按月订阅;按年订阅;一次性买断;免费基础版+高级订阅;按使用次数付费
价格敏感度,Q4,您可接受的月度订阅价格区间是？,single_choice,<10元/美元;10-29;30-49;50-99;100+;完全不接受订阅
价值驱动,Q5,哪些因素会提升您购买订阅服务的意愿？,multiple_choice,明显节省时间;核心功能增强;持续更新;专属内容/服务;免费试用;可随时取消;价格优惠;家庭共享;售后保障
流失风险,Q6,哪些因素会让您取消订阅？,multiple_choice,价格太高;使用频率低;功能价值不足;自动续费反感;替代品免费;体验不稳定;取消流程复杂
购买意愿,Q7,如果订阅服务能显著提升体验，您的购买意愿如何？,single_choice,一定会购买;可能会购买;不确定;大概率不会;一定不会
人群属性,Q8,您的年龄段是？,single_choice,18岁以下;18-24;25-34;35-44;45-54;55+
人群属性,Q9,您的月可支配预算区间是？,single_choice,较低;中低;中等;中高;较高
开放题,Q10,请简要说明您接受或不接受订阅服务的主要原因。,open_text,
